Obs;Date;Open;High;Low;Close;Adj;Volume;Variacion_num;Variacion;Nanterior;etiqueta_noticia;etiqueta_variacion
1;17-09-2014;465.864.014;468.174.011;452.421.997;457.334.015;457.334.015;21056800;0;0;0;Neutro;Neutro
2;18-09-2014;456.859.985;456.859.985;413.104.004;424.440.002;424.440.002;34483200;-0,071925577;-1;0;Neutro;Negativa
3;19-09-2014;424.102.997;427.834.991;384.532.013;394.795.990;394.795.990;37919700;-0,069842644;-1;0;Neutro;Negativa
4;20-09-2014;394.673.004;423.295.990;389.882.996;408.903.992;408.903.992;36863600;0,035734917;1;0;Neutro;Positiva
5;21-09-2014;408.084.991;412.425.995;393.181.000;398.821.014;398.821.014;26580100;-0,024658546;-1;0;Neutro;Negativa
6;22-09-2014;399.100.006;406.915.985;397.130.005;402.152.008;402.152.008;24127600;0,008352103;0;0;Neutro;Neutro
7;23-09-2014;402.092.010;441.557.007;396.196.991;435.790.985;435.790.985;45099500;0,083647418;1;0;Neutro;Positiva
8;24-09-2014;435.751.007;436.112.000;421.131.989;423.204.987;423.204.987;30627700;-0,028880813;-1;0;Neutro;Negativa
9;25-09-2014;423.156.006;423.519.989;409.467.987;411.574.005;411.574.005;26814400;-0,027483093;-1;0;Neutro;Negativa
10;26-09-2014;411.428.986;414.937.988;400.009.003;404.424.988;404.424.988;21460800;-0,017369943;-1;;Neutro;Negativa
11;27-09-2014;403.556.000;406.622.986;397.372.009;399.519.989;399.519.989;15029300;-0,012128328;-1;0;Neutro;Negativa
12;28-09-2014;399.471.008;401.016.998;374.332.001;377.181.000;377.181.000;23613300;-0,055914572;-1;0;Neutro;Negativa
13;29-09-2014;376.928.009;385.210.999;372.239.990;375.467.010;375.467.010;32497700;-0,004544211;0;0;Neutro;Neutro
14;30-09-2014;376.088.013;390.976.990;373.442.993;386.944.000;386.944.000;34707300;0,030567239;1;0;Neutro;Positiva
15;01-10-2014;387.427.002;391.378.998;380.779.999;383.614.990;383.614.990;26229400;-0,008603338;0;0;Neutro;Neutro
