Obs;Date;;Open;Close;High;Low;Variación _num;Variación;Nanterior;etiqueta_noticia;etiqueta_variacion
1;09-08-2015;;1,749289;0,909046;1,91654;0,794497;0,0%;0;0;Neutra;Neutra
2;10-08-2015;;0,909046;0,692321;0,909046;0,692321;-23,8%;-1;0;Neutra;Negativa
3;11-08-2015;;0,692321;0,668067;0,692321;0,654331;-3,5%;-1;0;Neutra;Negativa
4;12-08-2015;;0,668067;0,850151;1,148621;0,668067;27,3%;1;0;Neutra;Positiva
5;13-08-2015;;0,850151;1,266023;1,266023;0,850151;48,9%;1;0;Neutra;Positiva
6;14-08-2015;;1,266023;1,95146;2,073329;1,149458;54,1%;1;0;Neutra;Positiva
7;15-08-2015;;1,95146;1,591219;2,225695;1,591219;-18,5%;-1;0;Neutra;Negativa
8;16-08-2015;;1,591219;1,693707;1,76886;1,591219;6,4%;1;0;Neutra;Positiva
9;17-08-2015;;1,693707;1,423244;1,693707;1,099489;-16,0%;-1;0;Neutra;Negativa
10;18-08-2015;;1,423244;1,199595;1,469168;1,19379;-15,7%;-1;0;Neutra;Negativa
11;19-08-2015;;1,199595;1,182837;1,336878;0,918462;-1,4%;-1;0;Neutra;Negativa
12;20-08-2015;;1,182837;1,279549;1,306265;1,161387;8,2%;1;0;Neutra;Positiva
13;21-08-2015;;1,279549;1,447462;1,520993;1,219;13,1%;1;0;Neutra;Positiva
14;22-08-2015;;1,447462;1,36656;1,53824;1,36656;-5,6%;-1;0;Neutra;Negativa
15;23-08-2015;;1,36656;1,320872;1,532008;1,320872;-3,3%;-1;0;Neutra;Negativa
16;24-08-2015;;1,320872;1,374641;1,416982;1,320872;4,1%;1;0;Neutra;Positiva
17;25-08-2015;;1,374641;1,209496;1,396274;1,161909;-12,0%;-1;0;Neutra;Negativa
18;26-08-2015;;1,209496;1,054577;1,209496;1,037515;-12,8%;-1;0;Neutra;Negativa
19;27-08-2015;;1,054577;1,182596;1,182596;1,054577;12,1%;1;0;Neutra;Positiva
20;28-08-2015;;1,182596;1,15499;1,182596;1,077896;-2,3%;-1;0;Neutra;Negativa
21;29-08-2015;;1,15499;1,18735;1,193085;1,15499;2,8%;1;0;Neutra;Positiva
22;30-08-2015;;1,18735;1,129976;1,188128;1,129976;-4,8%;-1;0;Neutra;Negativa
23;31-08-2015;;1,129976;1,254864;1,309973;1,129976;11,1%;1;0;Neutra;Positiva
24;01-09-2015;;1,254864;1,334005;1,344723;1,254864;6,3%;1;0;Neutra;Positiva
25;02-09-2015;;1,334005;1,327498;1,367081;1,31833;-0,5%;0;0;Neutra;Neutra
26;03-09-2015;;1,327498;1,293887;1,346276;1,267851;-2,5%;-1;0;Neutra;Negativa
27;04-09-2015;;1,293887;1,277428;1,293887;1,204812;-1,3%;-1;0;Neutra;Negativa
28;05-09-2015;;1,277428;1,272847;1,282001;1,233946;-0,4%;0;0;Neutra;Neutra
29;06-09-2015;;1,272847;1,350303;1,350303;1,272089;6,1%;1;0;Neutra;Positiva
30;07-09-2015;;1,350303;1,283866;1,350303;1,274404;-4,9%;-1;0;Neutra;Negativa
31;08-09-2015;;1,283866;1,273887;1,283866;1,21802;-0,8%;0;0;Neutra;Neutra
32;09-09-2015;;1,273887;1,22715;1,273887;1,215209;-3,7%;-1;0;Neutra;Negativa
33;10-09-2015;;1,22715;1,21412;1,259248;1,204028;-1,1%;-1;0;Neutra;Negativa
34;11-09-2015;;1,21412;1,133807;1,227059;1,133807;-6,6%;-1;0;Neutra;Negativa
35;12-09-2015;;1,133807;0,99657;1,14258;0,949483;-12,1%;-1;0;Neutra;Negativa
36;13-09-2015;;0,99657;1,057922;1,1136;0,974123;6,2%;1;0;Neutra;Positiva
37;14-09-2015;;1,057922;0,943382;1,057922;0,909722;-10,8%;-1;1;Positiva;Negativa
38;15-09-2015;;0,943382;0,895974;0,943382;0,867949;-5,0%;-1;0;Neutra;Negativa
39;16-09-2015;;0,895974;0,953877;0,955146;0,873279;6,5%;1;0;Neutra;Positiva
40;17-09-2015;;0,953877;0,908822;0,953877;0,906807;-4,7%;-1;0;Neutra;Negativa
41;18-09-2015;;0,908822;0,8584;0,908822;0,839252;-5,5%;-1;0;Neutra;Negativa
42;19-09-2015;;0,8584;0,852294;0,877225;0,849413;-0,7%;0;0;Neutra;Neutra
43;20-09-2015;;0,852294;0,876125;0,919179;0,84579;2,8%;1;0;Neutra;Positiva
44;21-09-2015;;0,876125;0,9786;0,9786;0,876125;11,7%;1;0;Neutra;Positiva
45;22-09-2015;;0,9786;0,903632;0,9786;0,881581;-7,7%;-1;0;Neutra;Negativa
46;23-09-2015;;0,903632;0,902332;0,908189;0,86095;-0,1%;0;0;Neutra;Neutra
47;24-09-2015;;0,902332;0,882362;0,902332;0,882362;-2,2%;-1;0;Neutra;Negativa
48;25-09-2015;;0,882362;0,823158;0,895876;0,816895;-6,7%;-1;0;Neutra;Negativa
49;26-09-2015;;0,823158;0,71822;0,823158;0,71822;-12,7%;-1;0;Neutra;Negativa
50;27-09-2015;;0,71822;0,786708;0,786708;0,71822;9,5%;1;0;Neutra;Positiva
51;28-09-2015;;0,786708;0,673928;0,786708;0,672239;-14,3%;-1;-1;Negativa;Negativa
52;29-09-2015;;0,673928;0,587136;0,706487;0,564015;-12,9%;-1;0;Neutra;Negativa
53;30-09-2015;;0,587136;0,663342;0,689453;0,57136;13,0%;1;0;Neutra;Positiva
54;01-10-2015;;0,663342;0,74342;0,745503;0,642378;12,1%;1;0;Neutra;Positiva
55;02-10-2015;;0,74342;0,683352;0,745952;0,671104;-8,1%;-1;0;Neutra;Negativa
56;03-10-2015;;0,683352;0,673569;0,692103;0,661651;-1,4%;-1;0;Neutra;Negativa
57;04-10-2015;;0,673569;0,704391;0,7139;0,673569;4,6%;1;0;Neutra;Positiva
58;05-10-2015;;0,704391;0,674765;0,704391;0,66864;-4,2%;-1;0;Neutra;Negativa
59;06-10-2015;;0,674765;0,611915;0,689198;0,599562;-9,3%;-1;0;Neutra;Negativa
60;07-10-2015;;0,611915;0,627348;0,638329;0,599981;2,5%;1;0;Neutra;Positiva
61;08-10-2015;;0,627348;0,597617;0,661092;0,597617;-4,7%;-1;0;Neutra;Negativa
62;09-10-2015;;0,597617;0,647476;0,664707;0,592353;8,3%;1;0;Neutra;Positiva
63;10-10-2015;;0,647476;0,639178;0,685514;0,635641;-1,3%;-1;0;Neutra;Negativa
64;11-10-2015;;0,639178;0,622336;0,655345;0,618771;-2,6%;-1;0;Neutra;Negativa
65;12-10-2015;;0,622336;0,630986;0,642055;0,615043;1,4%;1;0;Neutra;Positiva
66;13-10-2015;;0,630986;0,615958;0,653016;0,60686;-2,4%;-1;0;Neutra;Negativa
67;14-10-2015;;0,615958;0,580101;0,620675;0,579744;-5,8%;-1;0;Neutra;Negativa
68;15-10-2015;;0,580101;0,520789;0,596873;0,498348;-10,2%;-1;0;Neutra;Negativa
69;16-10-2015;;0,520789;0,55132;0,588001;0,520789;5,9%;1;0;Neutra;Positiva
70;17-10-2015;;0,55132;0,523356;0,569163;0,517624;-5,1%;-1;0;Neutra;Negativa
71;18-10-2015;;0,523356;0,549124;0,562939;0,519669;4,9%;1;0;Neutra;Positiva
72;19-10-2015;;0,549124;0,518259;0,549124;0,514057;-5,6%;-1;0;Neutra;Negativa
73;20-10-2015;;0,518259;0,490581;0,531293;0,481528;-5,3%;-1;0;Neutra;Negativa
74;21-10-2015;;0,490581;0,490282;0,498685;0,435848;-0,1%;0;0;Neutra;Neutra
75;22-10-2015;;0,490282;0,428394;0,490282;0,420975;-12,6%;-1;0;Neutra;Negativa
76;23-10-2015;;0,428394;0,561577;0,61848;0,416424;31,1%;1;0;Neutra;Positiva
77;24-10-2015;;0,561577;0,543105;0,627261;0,51888;-3,3%;-1;0;Neutra;Negativa
78;25-10-2015;;0,543105;0,555001;0,580723;0,537017;2,2%;1;0;Neutra;Positiva
79;26-10-2015;;0,555001;0,626306;0,697249;0,555001;12,8%;1;0;Neutra;Positiva
80;27-10-2015;;0,626306;0,810927;0,828585;0,607537;29,5%;1;0;Neutra;Positiva
81;28-10-2015;;0,810927;0,847653;0,893183;0,762169;4,5%;1;0;Neutra;Positiva
82;29-10-2015;;0,847653;0,96149;1,044225;0,817823;13,4%;1;0;Neutra;Positiva
83;30-10-2015;;0,96149;1,25408;1,262674;0,959245;30,4%;1;0;Neutra;Positiva
84;31-10-2015;;1,25408;0,9483;1,298514;0,9483;-24,4%;-1;0;Neutra;Negativa
85;01-11-2015;;0,9483;0,913563;1,019727;0,885208;-3,7%;-1;0;Neutra;Negativa
86;02-11-2015;;0,913563;1,068958;1,098801;0,913563;17,0%;1;0;Neutra;Positiva
87;03-11-2015;;1,068958;0,964695;1,096842;0,94303;-9,8%;-1;0;Neutra;Negativa
88;04-11-2015;;0,964695;1,018074;1,137672;0,9353;5,5%;1;0;Neutra;Positiva
89;05-11-2015;;1,018074;0,926706;1,018074;0,664949;-9,0%;-1;0;Neutra;Negativa
90;06-11-2015;;0,926706;0,878713;0,998852;0,836172;-5,2%;-1;0;Neutra;Negativa
91;07-11-2015;;0,878713;0,916739;0,982814;0,833477;4,3%;1;0;Neutra;Positiva
92;08-11-2015;;0,916739;0,933398;0,958731;0,853144;1,8%;1;0;Neutra;Positiva
93;09-11-2015;;0,933398;1,080845;1,118672;0,919296;15,8%;1;0;Neutra;Positiva
94;10-11-2015;;1,080845;0,989914;1,115411;0,934984;-8,4%;-1;0;Neutra;Negativa
95;11-11-2015;;0,989914;0,854742;1,054931;0,847376;-13,7%;-1;0;Neutra;Negativa
96;12-11-2015;;0,854742;0,784963;0,914688;0,727007;-8,2%;-1;0;Neutra;Negativa
97;13-11-2015;;0,784963;0,898162;0,920047;0,776517;14,4%;1;1;Positiva;Positiva
98;14-11-2015;;0,898162;0,904045;0,907578;0,852449;0,7%;0;0;Neutra;Neutra
99;15-11-2015;;0,904045;0,89712;0,920012;0,89111;-0,8%;0;0;Neutra;Neutra
100;16-11-2015;;0,89712;0,938097;0,945255;0,88722;4,6%;1;0;Neutra;Positiva
101;17-11-2015;;0,938097;0,917747;0,946953;0,891811;-2,2%;-1;0;Neutra;Negativa
102;18-11-2015;;0,917747;0,970144;1,037365;0,917747;5,7%;1;0;Neutra;Positiva
103;19-11-2015;;0,970144;0,991469;1,02602;0,948385;2,2%;1;0;Neutra;Positiva
104;20-11-2015;;0,991469;0,93856;1,006977;0,93856;-5,3%;-1;0;Neutra;Negativa
105;21-11-2015;;0,93856;0,934916;0,950411;0,908539;-0,4%;0;0;Neutra;Neutra
106;22-11-2015;;0,934916;0,976503;0,99314;0,920551;4,4%;1;0;Neutra;Positiva
107;23-11-2015;;0,976503;0,987436;0,999522;0,960253;1,1%;1;0;Neutra;Positiva
108;24-11-2015;;0,987436;0,943054;0,987799;0,934047;-4,5%;-1;0;Neutra;Negativa
109;25-11-2015;;0,943054;0,894563;0,951031;0,882575;-5,1%;-1;0;Neutra;Negativa
110;26-11-2015;;0,894563;0,85455;0,894563;0,843559;-4,5%;-1;0;Neutra;Negativa
111;27-11-2015;;0,85455;0,895359;0,915154;0,79875;4,8%;1;0;Neutra;Positiva
112;28-11-2015;;0,895359;0,889247;0,925274;0,853843;-0,7%;0;0;Neutra;Neutra
113;29-11-2015;;0,889247;0,919118;0,948679;0,877014;3,4%;1;0;Neutra;Positiva
114;30-11-2015;;0,919118;0,862868;0,919118;0,862677;-6,1%;-1;0;Neutra;Negativa
115;01-12-2015;;0,862868;0,864777;0,893453;0,846057;0,2%;0;0;Neutra;Neutra
116;02-12-2015;;0,864777;0,84846;0,908887;0,84846;-1,9%;-1;0;Neutra;Negativa
